ID,district,state,name,party,clinton,trump,2016_Rmargin,House_Rmargin,obama,romney,2012_Rmargin,swing12,blacks,manufacturing,med_income,public_ins,bachelors,medincdiff,medincdiff_k,medinc_10k,foreign_p
1,AK-AL,AK,"Young, Don",(R),37.6,52.8,15.2,14.3,41.2,55.3,14.1,0,0.032016703,0.042965797,76440,0.294051243,0.296,19924,19.924,7.644,7.497675934
2,AL-01,AL,"Byrne, Bradley",(R),34.1,63.5,29.4,100,37.4,61.8,24.4,0,0.273468785,0.119732053,47083,0.381436438,0.24,-9433,-9.433,4.7083,2.697254765
3,AL-02,AL,"Roby, Martha",(R),33,64.9,31.9,9.2,36.4,62.9,26.5,0,0.321953109,0.142619217,42035,0.392460225,0.218,-14481,-14.481,4.2035,2.572690689
4,AL-03,AL,"Rogers, Mike",(R),32.3,65.3,33,34,36.8,62.3,25.5,0,0.262501374,0.169560417,46544,0.361662527,0.228,-9972,-9.972,4.6544,2.776673686
5,AL-04,AL,"Aderholt, Rob",(R),17.4,80.4,63,100,24,74.8,50.8,0,0.070651116,0.20339124,41110,0.401463757,0.17,-15406,-15.406,4.111,3.418399381
6,AL-05,AL,"Brooks, Mo",(R),31.3,64.7,33.4,33.6,34.9,63.9,29,0,0.178507822,0.143297632,51690,0.326104319,0.303,-4826,-4.826,5.169,4.346209067
7,AL-06,AL,"Palmer, Gary",(R),26.1,70.8,44.7,52.2,24.7,74.3,49.6,0,0.148578241,0.086004024,61413,0.28654464,0.367,4897,4.897,6.1413,4.757980937
8,AL-07,AL,"Sewell, Terri",(D),69.8,28.6,-41.2,-100,72.4,27.1,-45.3,0,0.634522182,0.133136519,34664,0.436476134,0.194,-21852,-21.852,3.4664,2.923696348
9,AR-01,AR,"Crawford, Rick",(R),30.2,65,34.8,100,36.3,61,24.7,0,0.177543256,0.150947576,40492,0.490762492,0.165,-16024,-16.024,4.0492,1.740171661
10,AR-02,AR,"Hill, French",(R),41.7,52.4,10.7,21.5,42.9,54.7,11.8,0,0.223276486,0.077215972,49498,0.397740532,0.3,-7018,-7.018,4.9498,4.021456553
11,AR-03,AR,"Womack, Steve",(R),30.5,61.9,31.4,100,31.6,65.5,33.9,0,0.031047408,0.152576747,47903,0.372050888,0.269,-8613,-8.613,4.7903,9.283752834
12,AR-04,AR,"Westerman, Bruce",(R),31.3,64.2,32.9,100,35.9,61.8,25.9,0,0.199559032,0.160908891,39586,0.479021069,0.158,-16930,-16.93,3.9586,3.060270755
13,AZ-01,AZ,"O'Halleran, Tom",(D),46.6,47.7,1.1,-7.3,47.9,50.4,2.5,1,0.02346256,0.064771057,50537,0.452950665,0.245,-5979,-5.979,5.0537,5.649451575
14,AZ-02,AZ,"McSally, Martha",(R),49.6,44.7,-4.9,14,48.4,49.9,1.5,1,0.040481758,0.059462298,49072,0.446695014,0.34,-7444,-7.444,4.9072,11.73568355
15,AZ-03,AZ,"Grijalva, Raul",(D),62.4,32.5,-29.9,-100,61.4,36.9,-24.5,0,0.044620117,0.059989806,44224,0.426678766,0.165,-12292,-12.292,4.4224,21.69473231
16,AZ-04,AZ,"Gosar, Paul",(R),27.5,67.7,40.2,43,31,67.2,36.2,0,0.016423302,0.059532658,49466,0.501226894,0.192,-7050,-7.05,4.9466,7.04583534
17,AZ-05,AZ,"Biggs, Andy",(R),36.5,57.6,21.1,28.2,34.6,63.8,29.2,0,0.035123741,0.095456302,71693,0.285081365,0.36,15177,15.177,7.1693,10.21232694
18,AZ-06,AZ,"Schweikert, David",(R),42.4,52.4,10,24.2,38.8,59.5,20.7,0,0.021975062,0.063064106,67830,0.333148407,0.454,11314,11.314,6.783,14.43376884
19,AZ-07,AZ,"Gallego, Ruben",(D),71.8,22.6,-49.2,-50.6,71.7,26.5,-45.2,0,0.098634265,0.084133883,40991,0.460208333,0.14,-15525,-15.525,4.0991,25.59803614
20,AZ-08,AZ,Franks,(R),37,58.1,21.1,100,36.9,61.7,24.8,0,0.038793065,0.058607665,61754,0.37619092,0.294,5238,5.238,6.1754,9.635519501
21,AZ-09,AZ,"Sinema, Kyrsten",(D),54.7,38.4,-16.3,-21.8,51.1,46.6,-4.5,1,0.065028515,0.076826333,55349,0.305232558,0.375,-1167,-1.167,5.5349,14.65413727
22,CA-01,CA,"LaMalfa, Doug",(R),36.5,56.2,19.7,18.2,40.3,56.6,16.3,0,0.013193261,0.064894536,47488,0.500741878,0.237,-9028,-9.028,4.7488,6.262568228
23,CA-02,CA,"Huffman, Jared",(D),69,23.3,-45.7,-53.8,69,27,-42,0,0.013394266,0.062134184,66604,0.413039131,0.409,10088,10.088,6.6604,13.69027174
24,CA-03,CA,"Garamendi, John",(D),53,40.4,-12.6,-18.8,54.3,43.1,-11.2,0,0.063059522,0.0774939,61508,0.422331976,0.251,4992,4.992,6.1508,19.33001285
25,CA-04,CA,"McClintock, Tom",(R),39.3,54,14.7,25.4,39.5,57.9,18.4,0,0.013656299,0.061360704,74074,0.373736193,0.333,17558,17.558,7.4074,9.177949697
26,CA-05,CA,"Thompson, Mike",(D),69.2,24.3,-44.9,-53.8,69.7,27.5,-42.2,0,0.063911746,0.102789705,73006,0.382844965,0.312,16490,16.49,7.3006,21.17727945
27,CA-06,CA,"Matsui, Doris",(D),69.2,24.4,-44.8,-50.8,69.1,28.3,-40.8,0,0.1287535,0.05467191,51932,0.466180315,0.275,-4584,-4.584,5.1932,22.80863418
